match_no,Bowler,team,over,run,wicket,No_ball,ECO
42,Ravichandran Ashwin,Rajasthan Royals,4.0,27,2,0,6.8
42,Yuzvendra Chahal,Rajasthan Royals,3.0,32,0,0,10.7
42,Kuldeep Sen,Rajasthan Royals,1.0,20,0,1,20.0
43,Krunal Pandya,Lucknow Super Giants,4.0,21,0,0,5.3
43,Marcus Stoinis,Lucknow Super Giants,1.0,11,0,0,11.0
43,Naveen-ul-Haq,Lucknow Super Giants,4.0,30,3,0,7.5
43,Ravi Bishnoi,Lucknow Super Giants,4.0,21,2,0,5.3
43,Amit Mishra,Lucknow Super Giants,3.0,21,2,0,7.0
43,Yash Thakur,Lucknow Super Giants,2.0,12,0,2,6.0
43,Krishnappa Gowtham,Lucknow Super Giants,2.0,10,1,0,5.0
43,Mohammed Siraj,Royal Challengers Bangalore,3.0,24,1,1,8.0
43,Josh Hazlewood,Royal Challengers Bangalore,3.0,15,2,1,5.0
43,Glenn Maxwell,Royal Challengers Bangalore,1.0,3,1,0,3.0
43,Wanindu Hasaranga,Royal Challengers Bangalore,4.0,20,1,0,5.0
43,Karn Sharma,Royal Challengers Bangalore,4.0,20,2,0,5.0
43,Harshal Patel,Royal Challengers Bangalore,3.5,20,1,0,5.7
43,Mahipal Lomror,Royal Challengers Bangalore,1.0,4,0,0,4.0
44,Mohammed Shami,Gujarat Titans,4.0,11,4,0,2.8
44,Hardik Pandya,Gujarat Titans,1.0,0,0,0,0.0
44,Rashid Khan,Gujarat Titans,4.0,28,1,1,7.0
44,Joshua Little,Gujarat Titans,3.0,27,0,0,9.0
44,Noor Ahmad,Gujarat Titans,4.0,20,0,2,5.0
44,Mohit Sharma,Gujarat Titans,4.0,33,2,0,8.3
44,Khaleel Ahmed,Delhi Capitals,4.0,24,2,0,6.0
44,Ishant Sharma,Delhi Capitals,4.0,23,2,0,5.8
44,Anrich Nortje,Delhi Capitals,4.0,39,1,0,9.8
44,Kuldeep Yadav,Delhi Capitals,4.0,15,1,0,3.8
44,Axar Patel,Delhi Capitals,4.0,24,0,0,6.0
45,Deepak Chahar,Chennai Super Kings,4.0,41,0,0,10.3
45,Tushar Deshpande,Chennai Super Kings,1.0,1,0,0,1.0
45,Moeen Ali,Chennai Super Kings,4.0,13,2,0,3.3
45,Maheesh Theekshana,Chennai Super Kings,4.0,37,2,0,9.3
45,Ravindra Jadeja,Chennai Super Kings,3.0,11,1,0,3.7
45,Matheesha Pathirana,Chennai Super Kings,3.2,22,2,0,6.9
46,Cameron Green,Mumbai Indians,2.0,15,0,0,7.5
46,Arshad Khan,Mumbai Indians,4.0,48,1,0,12.0
46,Jofra Archer,Mumbai Indians,4.0,56,0,1,14.0
46,Piyush Chawla,Mumbai Indians,4.0,29,2,0,7.3
46,Kumar Kartikeya,Mumbai Indians,3.0,24,0,0,8.0
46,Akash Madhwal,Mumbai Indians,3.0,37,0,1,12.3
46,Rishi Dhawan,Punjab Kings,3.0,20,1,0,6.7
46,Arshdeep Singh,Punjab Kings,3.5,66,1,0,18.9
46,Sam Curran,Punjab Kings,3.0,41,0,0,13.7
46,Nathan Ellis,Punjab Kings,4.0,34,2,0,8.5
46,Rahul Chahar,Punjab Kings,3.0,30,0,0,10.0
46,Harpreet Brar,Punjab Kings,2.0,21,0,0,10.5
47,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,33,1,0,8.3
47,Marco Jansen,Sunrisers Hyderabad,3.0,24,2,1,8.0
47,Kartik Tyagi,Sunrisers Hyderabad,2.0,30,1,1,15.0
