match_no,Batsman,team,Run,Ball,4s,6s,out_by
10,Mayank Agarwal,Sunrisers Hyderabad,8,7,1,0,Krunal Pandya
10,Rahul Tripathi,Sunrisers Hyderabad,35,41,4,0,Yash Thakur
10,Aiden Markram,Sunrisers Hyderabad,0,1,0,0,Krunal Pandya
10,Harry Brook,Sunrisers Hyderabad,3,4,0,0,Ravi Bishnoi
10,Washington Sundar,Sunrisers Hyderabad,16,28,0,0,Amit Mishra
10,Abdul Samad,Sunrisers Hyderabad,21,10,1,2,Not Out
10,Adil Rashid,Sunrisers Hyderabad,4,3,1,0,Amit Mishra
10,Umran Malik,Sunrisers Hyderabad,0,0,0,0,Run Out
10,Bhuvneshwar Kumar,Sunrisers Hyderabad,0,0,0,0,Not Out
10,Kyle Mayers,Lucknow Super Giants,13,14,2,0,Fazalhaq Farooqi
10,KL Rahul,Lucknow Super Giants,35,31,4,0,Adil Rashid
10,Deepak Hooda,Lucknow Super Giants,7,8,0,1,Bhuvneshwar Kumar
10,Krunal Pandya,Lucknow Super Giants,34,23,4,1,Umran Malik
10,Marcus Stoinis,Lucknow Super Giants,10,13,2,0,Not Out
10,Romario Shepherd,Lucknow Super Giants,0,1,0,0,Adil Rashid
10,Nicholas Pooran,Lucknow Super Giants,11,6,1,1,Not Out
11,Yashasvi Jaiswal,Rajasthan Royals,60,31,11,1,Mukesh Kumar
11,Jos Buttler,Rajasthan Royals,79,51,11,1,Mukesh Kumar
11,Sanju Samson,Rajasthan Royals,0,4,0,0,Kuldeep Yadav
11,Riyan Parag,Rajasthan Royals,7,11,0,0,Rovman Powell
11,Shimron Hetmyer,Rajasthan Royals,39,21,1,4,Not Out
11,Dhruv Jurel,Rajasthan Royals,8,3,0,1,Not Out
11,Prithvi Shaw,Delhi Capitals,0,3,0,0,Trent Boult
11,David Warner,Delhi Capitals,65,55,7,0,Yuzvendra Chahal
11,Manish Pandey,Delhi Capitals,0,1,0,0,Trent Boult
11,Rilee Rossouw,Delhi Capitals,14,12,2,0,Ravichandran Ashwin
11,Lalit Yadav,Delhi Capitals,38,24,5,0,Trent Boult
11,Axar Patel,Delhi Capitals,2,6,0,0,Yuzvendra Chahal
11,Rovman Powell,Delhi Capitals,2,2,0,0,Ravichandran Ashwin
11,Abishek Porel,Delhi Capitals,7,9,1,0,Yuzvendra Chahal
11,Kuldeep Yadav,Delhi Capitals,3,7,0,0,Not Out
11,Anrich Nortje,Delhi Capitals,0,1,0,0,Sandeep Sharma
11,Mukesh Kumar,Delhi Capitals,1,1,0,0,Not Out
12,Rohit Sharma,Mumbai Indians,21,13,3,1,Tushar Deshpande
12,Ishan Kishan,Mumbai Indians,32,21,5,0,Ravindra Jadeja
12,Cameron Green,Mumbai Indians,12,11,1,0,Ravindra Jadeja
12,Suryakumar Yadav,Mumbai Indians,1,2,0,0,Mitchell Santner
12,Tilak Varma,Mumbai Indians,22,18,2,1,Ravindra Jadeja
12,Arshad Khan,Mumbai Indians,2,4,0,0,Mitchell Santner
12,Tim David,Mumbai Indians,31,22,1,2,Tushar Deshpande
12,Tristan Stubbs,Mumbai Indians,5,10,0,0,Sisanda Magala
12,Hrithik Shokeen,Mumbai Indians,18,13,3,0,Not Out
12,Piyush Chawla,Mumbai Indians,5,6,0,0,Not Out
